,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,sqft_basement,yr_built,yr_renovated,zipcode,zipcode_pop,listings_in_zip,hot_market_score,recent_renov
0,221900.0,3,1.0,1180,5650,1.0,0,7,0.0,1955,0,98178,25363,262,10.3,0
1,205425.0,2,1.0,880,6780,1.0,0,6,0.0,1945,0,98178,25363,262,10.3,0
2,445000.0,3,2.25,2100,8201,1.0,0,8,480.0,1967,0,98178,25363,262,10.3,0
3,236000.0,3,1.0,1300,5898,1.0,0,7,0.0,1961,0,98178,25363,262,10.3,0
4,170000.0,2,1.0,860,5265,1.0,0,6,0.0,1931,0,98178,25363,262,10.3,0
5,245000.0,3,1.75,1740,11547,1.0,0,7,0.0,1954,0,98178,25363,262,10.3,0
6,165000.0,4,1.0,1000,7134,1.0,0,6,0.0,1943,0,98178,25363,262,10.3,0
7,239900.0,4,1.0,1000,7134,1.0,0,6,0.0,1943,0,98178,25363,262,10.3,0
8,339000.0,4,1.5,2390,7480,1.5,0,7,0.0,1920,0,98178,25363,262,10.3,0
9,290900.0,2,2.0,1610,17600,2.0,0,6,0.0,1930,1983,98178,25363,262,10.3,0
10,190000.0,2,1.0,630,6000,1.0,0,6,0.0,1943,2005,98178,25363,262,10.3,1
11,260000.0,3,1.0,1180,5350,1.5,0,6,0.0,1959,0,98178,25363,262,10.3,0
12,360000.0,4,2.5,1840,9611,2.0,0,7,0.0,1996,0,98178,25363,262,10.3,0
13,289500.0,3,1.0,960,6400,1.0,0,6,140.0,1944,0,98178,25363,262,10.3,0
14,188000.0,2,1.5,1120,17487,1.0,0,6,0.0,1924,0,98178,25363,262,10.3,0
15,350000.0,5,3.0,2520,5500,1.0,0,8,970.0,2004,0,98178,25363,262,10.3,0
16,164808.0,3,1.0,1250,5411,1.0,0,7,0.0,1980,0,98178,25363,262,10.3,0
17,310000.0,4,3.0,2010,7426,1.0,0,7,920.0,1951,0,98178,25363,262,10.3,0
18,825000.0,2,1.0,1150,12775,1.0,1,6,0.0,1908,0,98178,25363,262,10.3,0
19,269000.0,3,1.0,1690,4250,1.0,0,7,670.0,1967,0,98178,25363,262,10.3,0
20,252500.0,3,2.0,1150,6000,1.0,0,7,0.0,1956,0,98178,25363,262,10.3,0
21,790000.0,4,1.75,2460,10061,1.0,1,7,1050.0,1961,0,98178,25363,262,10.3,0
22,260000.0,2,1.0,1120,5650,1.0,0,6,0.0,1944,0,98178,25363,262,10.3,0
23,245000.0,4,1.5,1280,8000,1.0,0,6,0.0,1960,0,98178,25363,262,10.3,0
