zip_code,y-2015
90001,57227
90002,50626
90003,69502
90004,64008
90005,38979
90006,61625
90007,43426
90008,31837
90010,3740
90011,104058
90012,30860
90013,11299
90014,7006
90015,18767
90016,47590
90017,24336
90018,49824
90019,67553
90020,39866
90021,2970
90022,68136
90023,46288
90024,50693
90025,46107
90026,68520
90027,46646
90028,30380
90029,40472
90031,39422
90032,47099
90033,48277
90034,58069
90035,30852
90036,37640
90037,62872
90038,28577
90039,28149
90040,12699
90041,28796
90042,62650
90043,43129
90044,88975
90045,41922
90046,51651
90047,48678
90048,22498
90049,35427
90056,8537
90057,46509
90058,2680
90059,44648
90061,28135
90062,33353
90063,53813
90064,26384
90065,46904
90066,59124
90067,2330
90068,21233
90069,20132
90071,0
90073,862
90077,8844
90079,0
90089,3334
90090,0
90094,6858
90095,0
90201,102946
90210,22052
90211,7530
90212,12577
90220,50715
90221,54236
90222,31875
90230,31978
90232,15708
90240,26655
90241,43592
90242,43160
90245,16929
90247,48032
90248,10166
90249,26627
90250,95939
90254,19747
90255,76180
90260,35866
90262,71163
90263,1832
90265,18258
90266,35603
90270,27700
90272,23934
90274,25778
90275,42593
90277,35178
90278,40485
90280,95350
90290,6478
90291,27167
90292,21679
90293,12458
90301,36360
90302,30482
90303,26408
90304,26854
90305,15665
90401,7297
90402,11661
90403,24416
90404,22081
90405,28915
90501,43145
90502,17585
90503,45986
90504,33279
90505,36904
90506,0
90601,34203
90602,27421
90603,20221
90604,40977
90605,41643
90606,32697
90620,46639
90621,35245
90623,15839
90630,49145
90631,69151
90638,49819
90640,63521
90650,106659
90660,63815
90670,15998
90680,30795
90701,16785
90703,50276
90704,3906
90706,77756
90710,27457
90712,32451
90713,28699
90715,19753
90716,14382
90717,21816
90720,22029
90723,55023
90731,62028
90732,21417
90740,24330
90742,689
90743,358
90744,57963
90745,58186
90746,26523
90747,0
90755,11440
90802,39155
90803,31709
90804,41007
90805,95127
90806,42498
90807,33763
90808,39428
90810,36936
90813,60078
90814,19264
90815,40462
90822,152
90831,0
91001,37163
91006,31728
91007,34598
91008,1132
91010,25840
91011,20721
91016,42090
91020,8438
91024,11084
91030,25967
91040,19969
91042,27298
91046,175
91101,20936
91103,27819
91104,38976
91105,11413
91106,25243
91107,31722
91108,13654
91201,23092
91202,23148
91203,13680
91204,17053
91205,38322
91206,34038
91207,10359
91208,17164
91210,727
91214,30965
91301,26293
91302,25431
91303,29471
91304,53853
91306,49532
91307,26219
91311,38505
91316,28837
91320,44952
91321,34178
91324,28497
91325,33197
91326,36921
91330,3231
91331,102266
91335,78230
91340,35481
91342,93466
91343,64149
91344,54566
91345,18276
91350,36520
91351,33071
91352,47543
91354,29340
91355,34188
91356,29467
91360,43948
91361,20831
91362,35546
91364,27100
91367,42578
91371,0
91377,15087
91381,20405
91384,29788
91387,43502
91390,20473
91401,41217
91402,71894
91403,24613
91405,53347
91406,54364
91411,25370
91423,33347
91436,13970
91501,20855
91502,12011
91504,25469
91505,31273
