,zipcode,zipcode_pop,listings_in_zip,hot_market_score
0,98178,25363,262,10.3
262,98125,39254,409,10.4
671,98028,21568,283,13.1
954,98136,15415,263,17.1
1217,98074,26530,441,16.6
1658,98053,21185,403,19.0
2061,98003,46008,280,6.1
2341,98198,36495,280,7.7
2621,98146,26730,288,10.8
2909,98038,34362,589,17.1
3498,98007,26269,141,5.4
3639,98115,50134,583,11.6
4222,98107,23488,266,11.3
4488,98126,22849,354,15.5
4842,98019,11143,190,17.1
5032,98103,48600,602,12.4
5634,98002,33817,199,5.9
5833,98133,46329,493,10.6
6326,98040,24120,282,11.7
6608,98092,42380,351,8.3
6959,98030,36730,256,7.0
7215,98119,23912,184,7.7
7399,98112,22230,269,12.1
7668,98052,62216,574,9.2
8242,98027,27855,412,14.8
8654,98117,31921,553,17.3
9207,98058,44430,455,10.2
9662,98001,32194,361,11.2
10023,98056,33944,406,12.0
10429,98166,21087,254,12.0
10683,98023,50065,499,10.0
11182,98070,10189,117,11.5
11299,98148,10659,57,5.3
11356,98105,45515,229,5.0
11585,98042,44894,547,12.2
12132,98008,24751,283,11.4
12415,98059,36409,468,12.9
12883,98122,35052,290,8.3
13173,98144,28302,343,12.1
13516,98004,32587,317,9.7
13833,98005,17733,168,9.5
14001,98034,42590,545,12.8
14546,98075,23363,359,15.4
14905,98116,23968,330,13.8
15235,98010,4918,100,20.3
15335,98118,44839,507,11.3
15842,98199,20871,317,15.2
16159,98032,36368,125,3.4
16284,98045,14635,220,15.0
16504,98102,23655,104,4.4
16608,98077,14246,198,13.9
16806,98108,24681,186,7.5
16992,98168,32569,269,8.3
17261,98177,19328,255,13.2
17516,98065,13977,308,22.0
17824,98029,26586,321,12.1
18145,98006,37519,498,13.3
18643,98109,24450,109,4.5
18752,98022,21567,233,10.8
18985,98033,36105,432,12.0
19417,98155,34081,446,13.1
19863,98024,5847,80,13.7
19943,98011,31650,195,6.2
20138,98031,36390,273,7.5
20411,98106,24603,335,13.6
20746,98072,22779,273,12.0
21019,98188,24836,136,5.5
21155,98014,6973,124,17.8
21279,98055,22659,268,11.8
21547,98039,3120,50,16.0
